idParroquia;nombreParroquia;idCanton
092750;GENERAL ANTONIO ELIZALDE (BUCAY), CABECERA CANTONAL;0927
100451;DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE);1004
060701;EL ROSARIO;0607
180701;PELILEO, CABECERA CANTONAL;1807
120452;SAN JUAN;1204
060160;SAN JUAN;0601
070101;LA PROVIDENCIA;0701
060152;CALPI;0601
060256;PISTISHI (NARIZ DEL DIABLO);0602
060259;SIBAMBE;0602
150155;PUERTO MISAHUALLI;1501
090110;ROCAFUERTE;0901
110850;MACARÁ, CABECERA CANTONAL;1108
071252;JAMBELÍ;0712
070650;EL GUABO, CABECERA CANTONAL;0706
071255;TORATA;0712
050157;11 DE NOVIEMBRE (ILINCHISI);0501
070450;BALSAS, CAB CANTONAL;0704
070104;NUEVE DE MAYO;0701
070850;MARCABELI, CAB CANTONAL;0708
070652;LA IBERIA;0706
071056;SARACAY;0710
210252;GONZALO PIZARRO;2102
220151;DAYUMA;2201
180106;LA PENÍNSULA;1801
071150;PORTOVELO, CAB CANTONAL;0711
070254;PALMALES;0702
070955;UZHCURRUMI;0709
120101;CLEMENTE BAQUERIZO;1201
130101;PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL;1301
090701;ELOY ALFARO (DURÁN), CABECERA CANTONAL;0907
180950;TISALEO, CABECERA CANTONAL;1809
090350;BALAO, CABECERA CANTONAL;0903
111450;PINDAL, CABECERA CANTONAL;1114
071052;LA BOCANA;0710
071202;PUERTO JELÍ;0712
210253;LUMBAQUÍ, CABECERA CANTONAL;2102
071358;SINSAO;0713
070703;HUALTACO;0707
230155;VALLE HERMOSO;2301
071403;VALLE HERMOSO;0714
071002;LA SUSAYA;0710
071053;MOROMORO (CAB. EN EL VADO);0710
070251;CHACRAS;0702
190151;CUMBARATZA;1901
150350;ARCHIDONA, CABECERA CANTONAL;1503
210153;GENERAL FARFAN;2101
070954;PROGRESO;0709
170503;SAN RAFAEL;1705
010252;SAN GERARDO;0102
210455;SIETE DE JULIO;2104
070903;OCHOA LEÓN (MATRIZ);0709
190550;YANTZAZA (YANZATZA), CABECERA CANTONAL;1905
111050;ALAMOR, CABECERA CANTONAL;1110
110153;EL CISNE;1101
240156;SAN JOSE DE ANCON;2401
071051;CAPIRO (CAB EN LA CAPILLA DE CAPIRO);0710
090158;TENGUEL;0901
080104;LUIS TELLO  (LAS PALMAS);0801
080153;CORONEL CARLOS CONCHA TORRES (CAB. EN HUELE);0801
080450;ROSA ZÁRATE (QUININDÉ), CABECERA CANTONAL;0804
080253;BORBÓN;0802
080454;VICHE;0804
080152;CAMARONES (CAB EN SAN VICENTE);0801
080750;RIO VERDE, CAB CANTONAL;0807
080168;VUELTA LARGA;0801
092150;GENERAL VILLAMIL (PLAYAS), CABECERA CANTONAL;0921
090115;PASCUALES;0901
080105;SIMÓN PLATA TORRES;0801
080165;TABIAZO;0801
080353;GALERA;0803
080166;TACHINA;0801
071201;SANTA ROSA;0712
240304;SANTA ROSA;2403
080653;TONCHIGÜE;0806
080102;5 DE AGOSTO;0801
080350;MUISNE, CABECERA CANTONAL;0803
080254;LA TOLA;0802
090607;SANTA CLARA;0906
080351;BOLÍVAR;0803
080358;SAN JOSE DE CHAMANGA;0803
080652;SÚA (CAB. EN LA BOCANA);0806
170255;SANTA ROSA DE CUZUBAMBA;1702
080255;LUIS VARGAS TORRES (CAB EN PLAYA DE ORO);0802
080261;TELEMBI;0802
230101;ABRAHAM CALAZACÓN;2301
131550;TOSAGUA, CABECERA CANTONAL;1315
080265;SANTA LUCÍA DE LAS PEÑAS;0802
090250;ALFREDO BAQUERIZO MORENO (JUJAN), CAB CANTONAL;0902
240153;CHANDUY;2401
240101;BALLENITA;2401
090109;ROCA;0901
090108;OLMEDO (SAN ALEJO);0901
240351;ANCONCITO;2403
091950;EL SALITRE (LAS RMAS) (CABECERA CANTONAL);0919
130153;CRUCITA;1301
100402;SAN LUIS;1004
132250;SAN VICENTE, CABECERA CANTONAL;1322
091450;PEDRO CARBO, CAB CANTONAL;0914
120350;MONTALVO, CABECERA CANTONAL;1203
120553;SAN CARLOS;1205
091152;SAN CARLOS;0911
120750;VENTANAS, CABECERA CANTONAL;1207
060254;HUIGRA;0602
131050;PAJÁN, CABECERA CANTONAL;1310
090656;LOS LOJAS (ENRIQUE BAQUERIZO MORENO);0906
131402;LEONIDAS PLAZA GUTIÉRREZ;1314
200151;EL PROGRESO;2001
090151;CHONGON;0901
170352;ALOASÍ;1703
091602;LA PUNTILLA (SATÉLITE);0916
130650;JIPIJAPA, CABECERA CANTONAL;1306
120507;SIETE DE OCTUBRE;1205
092350;CORONEL MARCELINO MARIDUEÑA, CAB CANTONAL;0923
150455;SARDINAS;1504
120502;SAN CAMILO;1205
090450;BALZAR, CABECERA CANTONAL;0904
130301;CHONE, CABECERA CANTONAL;1303
090102;BOLÍVAR  (SAGRARIO) ;0901
091850;SANTA LUCIA, CAB CANTONAL;0918
091054;ROBERTO ASTUDILLO (CAB EN CRUCE DE VENECIA);0910
090114;XIMENA;0901
130655;MACHALILLA;1306
170166;LLOA;1701
120508;24 DE MAYO;1205
090107;NUEVE DE OCTUBRE;0901
092050;YAGUACHI NUEVO,SAN JACINTO DE JAHUACHI,CAB CANTONAL;0920
130851;SAN LORENZO;1308
121001;SAN JACINTO DE BUENA FE, CAB CANTONAL;1210
121350;QUINSALOMA, CABECERA CANTONAL;1213
090850;VELASCO IBARRA (CAB. EL EMPALME), CABECERA CANTONAL;0908
130250;CALCETA, CABECERA CANTONAL;1302
091452;SABANILLA;0914
130801;LOS ESTEROS;1308
090113;URDANETA;0901
120851;ANTONIO SOTOMAYOR (CAB EN PLAYAS DE VINCES);1208
090152;JUAN GOMEZ RENDON (PROGRESO);0901
090602;LA AURORA (SATÉLITE);0906
180103;HUACHI CHICO;1801
170177;POMASQUÍ;1701
090157;PUNA;0901
092550;NARCISA DE JESUS, CAB CANTONAL;0925
200152;ISLA SANTA MARÍA (FLOREANA) (CAB. EN PTO. VELASCO IBARRA);2001
120509;VENUS DEL RÍO QUEVEDO;1205
090153;MORRO;0901
090105;GARCÍA MORENO;0901
130603;SAN LORENZO DE JIPIJAPA;1306
090106;LETAMENDI;0901
092450;LOMAS DE SARGENTILLO;0924
100252;SAN FRANCISCO DE NATABUELA;1002
100154;LA ESPERANZA;1001
100357;SEIS DE JULIO DE CUELLAJE (CAB. EN CUELLAJE);1003
040450;MIRA (CHONTAHUASI), CAB CANTONAL;0404
100152;ANGOCHAGUA;1001
170251;ASCÁZUBI;1702
040452;JIJÓN Y CAAMAÑO (CAB. EN RÍO BLANCO);0404
100351;APUELA;1003
100101;CARANQUI;1001
150158;SAN JUAN DE MUYUNA;1501
100550;PIMAMPIRO;1005
